index,Trivago,Spotify,Microsoft
550,0.995937,0.994756,0.946806
551,0.996168,0.995052,0.949702
552,0.996436,0.99532,0.95267
553,0.99663,0.995533,0.955135
554,0.99674,0.995715,0.957304
555,0.996837,0.995884,0.959143
556,0.997032,0.996067,0.960756
557,0.997032,0.996255,0.962138
558,0.997093,0.996402,0.963148
559,0.997093,0.99651,0.963844
560,0.997117,0.996577,0.964343
561,0.997117,0.996638,0.964766
562,0.997117,0.996697,0.965122
563,0.997117,0.996765,0.965279
564,0.997129,0.99683,0.96543
565,0.997141,0.996876,0.965764
566,0.997166,0.996913,0.966212
567,0.997214,0.996971,0.966748
568,0.997239,0.99708,0.967377
569,0.997336,0.997208,0.968171
570,0.997531,0.997328,0.969151
571,0.997908,0.997447,0.97029
572,0.998066,0.997567,0.971527
573,0.998261,0.997699,0.972874
574,0.998382,0.99786,0.97436
575,0.998589,0.998037,0.976209
576,0.998674,0.99819,0.978147
577,0.998784,0.998298,0.979809
578,0.99882,0.998414,0.981258
579,0.998844,0.998533,0.982463
580,0.998857,0.998641,0.983512
581,0.998857,0.998737,0.984402
582,0.998857,0.998817,0.985056
583,0.998857,0.998867,0.985483
584,0.998857,0.998911,0.985776
585,0.998857,0.998952,0.986025
586,0.998857,0.998978,0.98624
587,0.998857,0.999019,0.986335
588,0.998893,0.99905,0.986413
589,0.99893,0.999069,0.986589
590,0.99893,0.999102,0.986828
591,0.998942,0.999137,0.987121
592,0.999039,0.999189,0.987456
593,0.999136,0.999253,0.987844
594,0.999331,0.999319,0.988317
595,0.99938,0.999378,0.98886
596,0.999513,0.999453,0.989445
597,0.999574,0.999519,0.990062
598,0.999659,0.99959,0.990736
599,0.999793,0.999648,0.991608
600,0.999891,0.999712,0.992567
601,0.999915,0.999758,0.99342
602,0.999976,0.999795,0.994156
603,0.999976,0.999838,0.994755
604,1,0.999866,0.995271
605,,0.999896,0.995706
606,,0.999922,0.996012
607,,0.999947,0.996203
608,,0.99996,0.99632
609,,0.999964,0.996428
610,,0.999971,0.996525
611,,0.999979,0.996562
612,,0.999984,0.99658
613,,0.999989,0.996631
614,,0.999989,0.99673
615,,0.999989,0.996857
616,,0.999989,0.99699
617,,0.999989,0.997139
618,,0.999989,0.997295
619,,0.99999,0.997449
620,,0.99999,0.997597
621,,0.999991,0.997739
622,,0.999991,0.997884
623,,0.999991,0.998046
624,,0.999991,0.998247
625,,0.999992,0.998479
626,,0.999992,0.998678
627,,0.999992,0.998837
628,,0.999993,0.998985
629,,0.999994,0.999123
630,,0.999994,0.999218
631,,0.999996,0.999279
632,,0.999997,0.999312
633,,0.999998,0.999344
634,,0.999998,0.999368
635,,0.999998,0.999374
636,,0.999998,0.999375
637,,0.999999,0.99938
638,,0.999999,0.99939
639,,0.999999,0.999407
640,,1,0.999433
641,,,0.999466
642,,,0.999506
643,,,0.999547
644,,,0.999592
645,,,0.999638
646,,,0.999688
647,,,0.999741
648,,,0.999795
649,,,0.999845
650,,,0.999886
651,,,0.999921
652,,,0.999949
653,,,0.999969
654,,,0.999983
655,,,0.99999
656,,,0.999995
657,,,0.999998
658,,,1
659,,,1
